lon,lat,value
120.81,22.209999999999997,28.6
120.84,22.209999999999997,0.0
120.87,22.209999999999997,26.7
120.9,22.209999999999997,0.0
120.93,22.209999999999997,27.5
120.96,22.209999999999997,0.0
120.99,22.209999999999997,28.2
121.02,22.209999999999997,0.0
121.05,22.209999999999997,26.5
121.08,22.209999999999997,0.0
121.14,22.209999999999997,0.0
121.2,22.209999999999997,0.0
121.26,22.209999999999997,0.0
121.32,22.209999999999997,0.0
121.38,22.209999999999997,0.0
121.44,22.209999999999997,0.0
121.5,22.209999999999997,0.0
121.56,22.209999999999997,0.0
121.62,22.209999999999997,0.0
121.68,22.209999999999997,0.0
121.74,22.209999999999997,0.0
121.8,22.209999999999997,0.0
121.86,22.209999999999997,0.0
121.92,22.209999999999997,0.0
121.98,22.209999999999997,0.0
120.03,22.24,0.0
120.09,22.24,0.0
120.15,22.24,0.0
120.21,22.24,0.0
120.27,22.24,0.0
120.33,22.24,0.0
120.39,22.24,0.0
120.42,22.24,27.0
120.45,22.24,0.0
120.51,22.24,0.0
120.57,22.24,0.0
120.63,22.24,0.0
120.69,22.24,0.0
120.75,22.24,0.0
120.81,22.24,0.0
120.87,22.24,0.0
120.93,22.24,0.0
120.99,22.24,0.0
121.05,22.24,0.0
121.11,22.24,0.0
121.17,22.24,0.0
121.23,22.24,0.0
121.29,22.24,0.0
121.35,22.24,0.0
121.41,22.24,0.0
121.47,22.24,0.0
121.53,22.24,0.0
121.59,22.24,0.0
121.65,22.24,0.0
121.71,22.24,0.0
121.77,22.24,0.0
121.83,22.24,0.0
121.89,22.24,0.0
121.95,22.24,0.0
120.0,22.27,0.0
120.06,22.27,0.0
120.12,22.27,0.0
120.18,22.27,0.0
120.24,22.27,0.0
120.3,22.27,0.0
120.36,22.27,0.0
120.42,22.27,0.0
120.48,22.27,0.0
120.54,22.27,0.0
120.6,22.27,0.0
120.66,22.27,0.0
120.72,22.27,0.0
120.75,22.27,28.7
120.78,22.27,0.0
120.81,22.27,28.6
120.84,22.27,0.0
120.87,22.27,28.1
120.9,22.27,0.0
120.93,22.27,28.1
120.96,22.27,0.0
120.99,22.27,26.9
121.02,22.27,0.0
121.05,22.27,27.4
